t_s,x_m,h_m,vx_mps,hdot_mps,path_speed_mps,ax_mps2,ah_mps2,accel_norm_mps2,jx_mps3,jh_mps3
1.02,4.94523192550887,1.47258014817688,7.41666362503097,3.67018682580219,8.27509339301675,1.14349567644663,4.08853862278499,4.24543642421562,-8.23942364435978,-6.94753110245006
1.03,5.01945442039071,1.50948525211726,7.42769800125942,3.71071732239655,8.30301876696946,1.06280694882992,4.01767722638012,4.15587402430038,-8.06851574197051,-7.13862324544325
1.04,5.09378325326747,1.54679208463788,7.43793406819576,3.75052944460176,8.33002606944612,0.983830911152289,3.94490008015092,4.06572993497029,-7.89750595679613,-7.32503294705171
1.05,5.16821052669989,1.58449336702471,7.44738895746499,3.7896042760202,8.3561176902077,0.906568285357554,3.87025493368602,3.9750143783057,-7.72647191440569,-7.50669186473761
1.06,5.24272851458829,1.62258163379803,7.45607980406688,3.82792338103073,8.3812960486822,0.831019026568995,3.79379019353942,3.88374003444045,-7.55548950912573,-7.68353549574606
1.07,5.31732966216815,1.66104923755243,7.46402373879417,3.86546881116804,8.40556360414909,0.757182340322509,3.7155548851864,3.79192209853113,-7.3846329219502,-7.85550312021405
1.08,5.39200658593097,1.69988835385865,7.47123788082216,3.9022231111243,8.42892286599092,0.685056699621299,3.63559861554751,3.69957835098366,-7.21397463837311,-8.02253774459346
1.09,5.46675207347164,1.73909098622365,7.47773933046796,3.93816932437899,8.4513764039893,0.614639861812476,3.55397153607719,3.60672924392387,-7.04358546614432,-8.18458604538804
1.1,5.54155908326443,1.77864897110508,7.48354516211763,3.97329099846235,8.47292685864313,0.545928885286799,3.47072430641428,3.51339800747444,-6.87353455294795,-8.34159831320438
1.11,5.61642074436897,1.81855398297659,7.48867241731946,4.00757218985821,8.49357695148789,0.478920146001754,3.3859080585912,3.41961078011506,-6.70388940400372,-8.4935283971172
1.12,5.69133035606805,1.85879753944046,7.49313809804154,4.04099746855156,8.51332949539496,0.413609353829428,3.29957436179832,3.32539676829878,-6.53471589959151,-8.64033364934824
1.13,5.76628138743877,1.89937100638381,7.49695916009198,4.07355192222671,8.53218740483142,0.349991568729329,3.21177518770079,3.23078844162103,-6.36607831249821,-8.78197487025986
1.14,5.8412674768587,1.9402656031752,7.50015250669999,4.10522116012125,8.55015370606081,0.288061216747368,3.12256287630459,3.13582177125384,-6.19803932538821,-8.91841625366187
